task_id,candidate_id,difficulty,test_count,timeout_count,mutation_FTR,mutation_FDR,branch_FTR,branch_FDR,statement_FTR,statement_FDR
HumanEval/18,0,0.6,15.0,0,0.6,0.6,0.42,0.42,0.42,0.42
HumanEval/28,4,0.0,12.0,0,1.0,1.0,1.0,1.0,1.0,1.0
HumanEval/96,4,0.917,12.0,0,1.0,1.0,0.13,0.13,0.13,0.13
HumanEval/89,0,0.917,12.0,0,1.0,1.0,1.0,1.0,1.0,1.0
HumanEval/109,2,0.833,12.0,0,1.0,1.0,0.32,0.32,0.32,0.32
HumanEval/83,3,0.857,7.0,0,1.0,1.0,1.0,1.0,1.0,1.0
HumanEval/32,0,0.0,8.0,0,1.0,0.0,1.0,0.0,1.0,0.0
HumanEval/124,0,0.867,15.0,0,1.0,0.0,0.19,0.0,0.19,0.0
